dataset,split_name,index,mode,format,action,action_name,state,hit,passes,reliable,tc_score,tc_probe_count,tc_stage,vc_score,tc_source,vc_source,vc_cascade_depth
MMStar,LLaVA-NeXT-8B_Biased_Test,113,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,119,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,123,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,126,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,1,0.0,1,tc_os1_low,0.0,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,127,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,128,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,3,1,0.0,1,tc_os1_low,2.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,142,vcf_only,MCQ,both_max_strong_blur_b0.2_g2.5_t0.2,Visual-StrongBlur,visual_strong,0.0,5,1,0.0,1,tc_os1_low,2.0,none,strong,3
MMStar,LLaVA-NeXT-8B_Biased_Test,143,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,144,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,148,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,149,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,152,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,252,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,1.0,3,1,0.0,1,tc_os1_low,2.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,253,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,256,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,3,1,0.0,1,tc_os1_low,2.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,257,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,3,1,0.0,1,tc_os1_low,2.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,258,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,1.0,3,1,0.0,1,tc_os1_low,1.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,259,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,261,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,2.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,264,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,269,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,3,1,0.0,1,tc_os1_low,1.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,273,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,286,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,3,1,0.0,1,tc_os1_low,2.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,287,vcf_only,MCQ,both_max_center_mask_b0.2_g2.5_t0.2,Visual-CenterMask,visual_center,0.0,5,1,0.0,1,tc_os1_low,2.0,none,center,3
MMStar,LLaVA-NeXT-8B_Biased_Test,288,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,291,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,292,vcf_only,MCQ,both_max_strong_blur_b0.2_g2.5_t0.2,Visual-StrongBlur,visual_strong,1.0,5,1,0.0,1,tc_os1_low,2.0,none,strong,3
MMStar,LLaVA-NeXT-8B_Biased_Test,293,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,294,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,297,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,306,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,311,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,0.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,319,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,0.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,324,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,346,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,0.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,347,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,353,vcf_only,MCQ,both_max_center_mask_b0.2_g2.5_t0.2,Visual-CenterMask,visual_center,0.0,5,1,0.0,1,tc_os1_low,2.0,none,center,3
MMStar,LLaVA-NeXT-8B_Biased_Test,356,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,368,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,369,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,0.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,371,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,372,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,0.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,374,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,5,1,0.0,1,tc_os1_low,1.0,none,gray,3
MMStar,LLaVA-NeXT-8B_Biased_Test,376,vcf_only,MCQ,both_max_strong_blur_b0.2_g2.5_t0.2,Visual-StrongBlur,visual_strong,0.0,5,1,0.0,1,tc_os1_low,1.0,none,strong,3
MMStar,LLaVA-NeXT-8B_Biased_Test,382,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,384,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,389,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,394,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,413,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,416,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,418,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,0.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,427,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,428,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,436,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,441,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,456,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,461,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,462,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,0.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,464,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,476,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,484,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,488,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,489,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,493,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,494,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,497,vcf_only,MCQ,both_max_strong_blur_b0.2_g2.5_t0.2,Visual-StrongBlur,visual_strong,0.0,5,1,0.0,1,tc_os1_low,2.0,none,strong,3
MMStar,LLaVA-NeXT-8B_Biased_Test,504,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,507,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,508,vcf_only,MCQ,joint_os_strong_blur_b0.2_g2.5_t0.2,Joint-StrongBlur-OptionShuffle1,joint_strong,0.0,3,1,0.0,1,tc_os1_high,2.0,option_shuffle,strong,
MMStar,LLaVA-NeXT-8B_Biased_Test,509,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,5,1,0.0,1,tc_os1_low,2.0,none,gray,3
MMStar,LLaVA-NeXT-8B_Biased_Test,514,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,516,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,518,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,522,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,523,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,3,1,0.0,1,tc_os1_low,2.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,526,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,528,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,5,1,0.0,1,tc_os1_low,2.0,none,gray,3
MMStar,LLaVA-NeXT-8B_Biased_Test,529,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,531,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,0.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,532,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,534,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,539,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,0.0,5,1,0.0,1,tc_os1_low,2.0,none,gray,3
MMStar,LLaVA-NeXT-8B_Biased_Test,542,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,546,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,553,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,559,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,568,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,569,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,577,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,578,vcf_only,MCQ,both_max_grayscale_b0.2_g2.5_t0.2,Visual-Grayscale,visual_gray,1.0,3,1,0.0,1,tc_os1_low,2.0,none,gray,1
MMStar,LLaVA-NeXT-8B_Biased_Test,584,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,594,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,598,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,599,vcf_only,MCQ,both_max_strong_blur_b0.2_g2.5_t0.2,Visual-StrongBlur,visual_strong,1.0,5,1,1.0,1,tc_os1_low,2.0,none,strong,3
MMStar,LLaVA-NeXT-8B_Biased_Test,604,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,606,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,607,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,617,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,619,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,621,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,622,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,623,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,0.0,4,1,0.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,627,vcf_only,MCQ,joint_os_center_mask_b0.2_g2.5_t0.2,Joint-CenterMask-OptionShuffle1,joint_center,1.0,4,1,0.0,1,tc_os1_high,2.0,option_shuffle,center,
MMStar,LLaVA-NeXT-8B_Biased_Test,628,tcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,632,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,636,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,638,both,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,1.0,5,0,,,,,none,none,
MMStar,LLaVA-NeXT-8B_Biased_Test,639,vcf_only,MCQ,floor_sci5_ours_aug_b0.1_g2_t0.3,Conservative-2VC2TC,conservative_full,0.0,5,0,,,,,none,none,
