dataset,split_name,index,mode,route_mode,prediction,answer,hit,T_on,V_on,T_strength,V_strength,tc_pred,vc_pred,vc_envelope_pred,vc_sci_pred,support_size,labels_n,conflict,vc_source,vc_bridge_source,grec_soft_swcr,grec_hard_composition,grec_hard_argmax,operator_agree,joint_conflict,format,state,action,aggregation_status,stable_hit,mode_confidence
MMStar,Qwen2-VL-7B_Biased_Test,89,vcf_only,vcf_only,A,A,1.0,0,1,0.0,0.8538018516948361,A,B,B,A,4,4,0,strongblur,strongblur,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,94,vcf_only,vcf_only,B,A,0.0,0,1,0.0,0.617967056949536,B,B,B,B,4,4,0,gray,centermask,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,96,vcf_only,vcf_only,A,A,1.0,0,1,0.0,0.8014378678762388,A,A,A,A,4,4,0,strongblur,strongblur,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,103,vcf_only,both,A,A,1.0,1,1,0.45421448211933796,0.38206497989232596,A,D,A,B,1,4,1,strongblur,centermask,A,A,A,0,1,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,113,vcf_only,vcf_only,B,B,1.0,0,1,0.0,0.021174397334381208,A,A,A,B,4,4,1,centermask,centermask,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,114,vcf_only,neither,B,C,0.0,0,0,0.0,0.0,B,B,B,C,4,4,1,centermask,centermask,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,117,vcf_only,vcf_only,C,C,1.0,0,1,0.0,0.27825441962248215,C,C,C,C,4,4,0,strongblur,strongblur,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,123,vcf_only,vcf_only,A,A,1.0,0,1,0.0,0.38206497989232596,A,A,A,A,4,4,0,strongblur,centermask,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,124,vcf_only,vcf_only,B,B,1.0,0,1,0.0,0.14501968988125755,B,C,C,B,4,4,0,centermask,centermask,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,126,vcf_only,vcf_only,B,D,0.0,0,1,0.0,0.7154292599720506,B,B,B,B,4,4,0,gray,gray,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,128,vcf_only,vcf_only,D,D,1.0,0,1,0.0,0.7835437315555285,C,C,C,D,4,4,1,strongblur,strongblur,D,D,D,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,139,vcf_only,vcf_only,D,B,0.0,0,1,0.0,0.9159013843675208,D,D,D,D,4,4,0,gray,gray,D,D,D,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,144,vcf_only,vcf_only,C,C,1.0,0,1,0.0,0.25743762720718294,A,A,A,C,4,4,1,centermask,centermask,C,C,C,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,146,vcf_only,vcf_only,C,B,0.0,0,1,0.0,0.5672456394530775,C,A,A,C,4,4,0,centermask,centermask,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,147,vcf_only,vcf_only,B,B,1.0,0,1,0.0,0.01597828899549512,D,D,D,B,4,4,1,gray,gray,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,148,tcf_only,neither,C,C,1.0,0,0,0.0,0.0,D,C,C,D,4,4,0,strongblur,centermask,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,152,vcf_only,vcf_only,C,C,1.0,0,1,0.0,0.01825486138049377,D,D,D,C,4,4,1,gray,gray,C,C,C,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,158,vcf_only,vcf_only,B,B,1.0,0,1,0.0,1.0,B,A,A,B,2,2,0,gray,centermask,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,167,vcf_only,vcf_only,A,A,1.0,0,1,0.0,0.3253471383404591,B,B,B,A,2,2,1,gray,centermask,A,A,A,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,168,both,vcf_only,A,A,1.0,0,1,0.0,1.0,B,B,B,A,2,2,1,gray,centermask,A,A,A,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,171,both,vcf_only,B,A,0.0,0,1,0.0,0.9988907098240554,B,B,B,B,2,2,0,centermask,centermask,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,252,vcf_only,vcf_only,C,B,0.0,0,1,0.0,0.6792093542533334,C,C,C,C,4,4,0,gray,gray,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,253,tcf_only,neither,A,C,0.0,0,0,0.0,0.0,A,A,A,A,4,4,0,strongblur,strongblur,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,254,vcf_only,both,D,C,0.0,1,1,0.009899528899169514,0.6928782323046856,D,A,D,A,2,4,0,gray,gray,D,D,D,0,1,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,256,vcf_only,vcf_only,A,C,0.0,0,1,0.0,0.11948073295265256,B,B,B,A,4,4,1,gray,centermask,A,A,A,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,257,vcf_only,vcf_only,C,A,0.0,0,1,0.0,0.8985606942338241,C,C,C,C,4,4,0,centermask,centermask,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,258,vcf_only,vcf_only,C,C,1.0,0,1,0.0,0.5550801226303099,A,C,A,C,4,4,1,gray,gray,C,C,C,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,259,vcf_only,vcf_only,B,A,0.0,0,1,0.0,0.3425229561941381,C,C,C,B,4,4,1,centermask,centermask,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,261,vcf_only,vcf_only,C,B,0.0,0,1,0.0,0.9048818325191714,D,D,D,D,4,4,1,gray,centermask,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,262,vcf_only,vcf_only,D,D,1.0,0,1,0.0,0.32793954816441506,A,A,A,A,4,4,1,gray,gray,D,D,D,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,269,vcf_only,vcf_only,D,D,1.0,0,1,0.0,0.9188235903186853,D,D,D,D,4,4,0,centermask,centermask,D,D,D,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,281,vcf_only,vcf_only,B,D,0.0,0,1,0.0,0.06901119040462851,B,B,B,B,4,4,0,centermask,centermask,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,282,vcf_only,vcf_only,B,B,1.0,0,1,0.0,0.32059629210064894,C,C,C,B,4,4,1,centermask,centermask,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,284,vcf_only,vcf_only,A,A,1.0,0,1,0.0,0.20627325585239856,C,A,A,A,4,4,1,centermask,centermask,A,A,A,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,286,vcf_only,vcf_only,D,B,0.0,0,1,0.0,0.8591968067271509,D,D,D,D,4,4,0,gray,gray,D,D,D,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,288,vcf_only,vcf_only,B,D,0.0,0,1,0.0,0.8903962883342676,A,A,A,A,4,4,1,gray,centermask,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,292,vcf_only,vcf_only,A,D,0.0,0,1,0.0,0.07493077478786972,A,A,A,A,4,4,0,centermask,centermask,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,293,vcf_only,vcf_only,B,A,0.0,0,1,0.0,0.6615955050715964,B,B,B,B,4,4,0,strongblur,strongblur,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,296,tcf_only,neither,B,B,1.0,0,0,0.0,0.0,B,B,B,B,4,4,0,gray,centermask,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,299,vcf_only,vcf_only,D,A,0.0,0,1,0.0,0.8339026909257545,D,D,D,D,4,4,0,centermask,centermask,D,D,D,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,302,vcf_only,vcf_only,B,D,0.0,0,1,0.0,0.005183940027625213,B,B,B,B,4,4,0,gray,gray,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,304,vcf_only,neither,B,D,0.0,0,0,0.0,0.0,B,B,B,B,4,4,0,gray,gray,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,311,vcf_only,vcf_only,A,B,0.0,0,1,0.0,0.9203807788122618,A,A,A,A,4,4,0,centermask,centermask,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,314,vcf_only,both,B,C,0.0,1,1,0.009502115633367359,0.5501702121788878,B,B,B,B,1,4,0,strongblur,strongblur,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,318,vcf_only,vcf_only,C,A,0.0,0,1,0.0,0.059651852574107975,C,C,C,C,4,4,0,strongblur,strongblur,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,319,vcf_only,neither,D,A,0.0,0,0,0.0,0.0,D,D,D,D,4,4,0,centermask,centermask,D,D,D,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,328,vcf_only,vcf_only,A,B,0.0,0,1,0.0,0.38206497989232596,A,B,B,A,4,4,0,centermask,centermask,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,346,vcf_only,vcf_only,B,B,1.0,0,1,0.0,0.271259129172409,A,A,A,B,4,4,1,gray,gray,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,374,vcf_only,vcf_only,D,D,1.0,0,1,0.0,0.424600491533338,C,C,C,D,4,4,1,centermask,centermask,D,D,D,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,402,vcf_only,vcf_only,B,C,0.0,0,1,0.0,0.1058068318347707,D,D,D,D,4,4,1,strongblur,strongblur,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,418,vcf_only,tcf_only,B,B,1.0,1,0,0.45421448211933796,0.0,B,C,B,C,2,4,1,centermask,centermask,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,419,vcf_only,vcf_only,D,D,1.0,0,1,0.0,1.0,D,D,D,D,4,4,0,strongblur,centermask,D,D,D,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,424,both,both,B,B,1.0,1,1,1.0,1.0,B,B,C,B,1,4,0,strongblur,centermask,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,434,vcf_only,vcf_only,A,D,0.0,0,1,0.0,0.38206497989232596,A,A,A,A,4,4,0,gray,gray,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,436,vcf_only,vcf_only,B,B,1.0,0,1,0.0,0.8572352991994474,B,A,A,A,4,4,0,gray,gray,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,443,vcf_only,vcf_only,C,C,1.0,0,1,0.0,0.24863862344465232,A,C,A,C,4,4,1,gray,gray,C,C,C,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,447,tcf_only,neither,B,D,0.0,0,0,0.0,0.0,B,B,B,C,4,4,1,strongblur,centermask,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,451,vcf_only,vcf_only,B,A,0.0,0,1,0.0,1.0,A,C,C,B,4,4,1,strongblur,gray,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,458,tcf_only,tcf_only,C,C,1.0,1,0,0.4740308303316545,0.0,C,C,C,A,1,4,0,strongblur,centermask,C,C,C,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,464,both,vcf_only,B,C,0.0,0,1,0.0,0.1282804010565124,A,C,A,A,4,4,1,gray,centermask,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,466,vcf_only,vcf_only,A,C,0.0,0,1,0.0,1.0,C,D,D,D,4,4,1,gray,gray,A,A,A,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,472,vcf_only,vcf_only,A,B,0.0,0,1,0.0,0.16038378411276774,A,A,A,A,4,4,0,gray,gray,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,477,tcf_only,neither,B,B,1.0,0,0,0.0,0.0,B,B,B,C,4,4,1,strongblur,centermask,B,B,B,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,484,vcf_only,vcf_only,C,B,0.0,0,1,0.0,1.0,B,B,C,C,4,4,1,strongblur,centermask,C,C,C,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,488,both,both,B,B,1.0,1,1,0.0469462356944092,0.8976073683136996,B,A,A,A,1,4,0,centermask,centermask,B,B,B,0,1,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,491,tcf_only,both,A,A,1.0,1,1,0.5454363366919786,0.4869523798449199,A,A,A,C,1,4,1,centermask,centermask,C,A,A,0,1,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,492,vcf_only,vcf_only,D,D,1.0,0,1,0.0,0.1080285004965156,C,C,C,D,4,4,1,centermask,centermask,D,D,D,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,497,vcf_only,vcf_only,C,D,0.0,0,1,0.0,1.0,C,C,C,C,4,4,0,strongblur,strongblur,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,498,vcf_only,vcf_only,B,D,0.0,0,1,0.0,0.15282034451343487,B,B,B,B,4,4,0,gray,gray,B,B,B,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,504,vcf_only,vcf_only,D,A,0.0,0,1,0.0,0.4993210959783266,B,B,B,D,4,4,1,gray,gray,D,D,D,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,506,vcf_only,both,B,C,0.0,1,1,0.0067655277653049,0.21286096518246342,A,A,A,A,1,4,1,gray,gray,B,B,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,507,vcf_only,vcf_only,C,C,1.0,0,1,0.0,0.8551487323689324,D,D,D,A,4,4,1,gray,gray,C,C,C,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,508,vcf_only,vcf_only,A,A,1.0,0,1,0.0,0.11121062565021353,B,B,B,A,3,3,1,centermask,centermask,A,A,A,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,512,vcf_only,vcf_only,D,D,1.0,0,1,0.0,0.9594032158718566,A,A,A,A,4,4,1,strongblur,centermask,D,D,D,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,513,both,both,A,D,0.0,1,1,0.025749386096226956,0.29694111660433337,A,D,D,D,3,4,1,centermask,centermask,D,A,A,0,1,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,516,vcf_only,vcf_only,A,D,0.0,0,1,0.0,1.0,A,A,A,A,4,4,0,centermask,centermask,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,518,vcf_only,vcf_only,C,B,0.0,0,1,0.0,0.38206497989232596,C,B,B,C,4,4,0,strongblur,centermask,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,519,vcf_only,vcf_only,D,D,1.0,0,1,0.0,0.4804730989971663,B,B,B,D,4,4,1,centermask,centermask,D,D,D,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,524,vcf_only,vcf_only,A,A,1.0,0,1,0.0,1.0,A,A,A,A,4,4,0,centermask,centermask,A,A,A,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,526,vcf_only,vcf_only,C,D,0.0,0,1,0.0,0.21231271329094267,A,A,A,A,4,4,1,gray,gray,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,531,vcf_only,vcf_only,C,D,0.0,0,1,0.0,0.6474548886178011,C,C,C,C,4,4,0,gray,gray,C,C,C,1,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
MMStar,Qwen2-VL-7B_Biased_Test,533,vcf_only,vcf_only,D,B,0.0,0,1,0.0,1.0,D,C,C,C,4,4,0,centermask,centermask,D,D,D,0,0,MCQ,grec_hard_composition_gate,GroundedResidualEnergyCompositionHard,true_mcq_grec_hard,,
